Team,Rank,Total Auto Points,Total Teleop Points,Contributed Points,Total Auto Coral,Total Teleop Coral,Total Cycle Points,Deep Cage Climb,Did Leave Starting Zone,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Teleop Algae Remove,Teleop Algae Proc,Teleop Algae Net,Fouls,Died During Match,Did Defense
1574,,16.8,36.4,61.4,2,8.8,9,0.6,1,2.7,3.6,2.5,0,1.1,0,0.2,0,0,0
4744,,11.3,33.2,45.8,1.2,8.4,8.4,0,1,3.1,3.2,0.6,1.4,1.1,0,0,0,0,0
5928,,4.2,35.2,41.4,0.4,6.4,7.8,0,1,2.9,2.5,0.2,0.8,2.3,1.4,0,0,0,0
8223,,11.1,31.6,52,1.4,7.4,7.4,0.7,1,3.9,2.3,0.6,0.6,1.6,0,0,0,0,0
5614,,20.6,27.2,59.8,2.5,7,7.4,1,1,1.7,2.5,1.6,1.2,2.3,0,0.4,0,0,0
1577,,5.3,23.6,31.4,0.5,6,7.4,0.1,1,0,1.9,2.2,1.9,1.6,0.1,1.3,0,0,0
2096,,10.2,22,34.4,0.7,4.5,6.3,0,1,1.2,1.2,0.1,2.1,0.6,0,1.8,0,0,0
5990,,20.4,19.3,40.4,2.5,5.8,5.9,0,0.9,0.6,1.7,1.7,1.8,0.7,0,0.1,0,0.2,0.3
4416,,5.3,15.9,23.1,0.8,4.2,5.4,0,1,0,0,0,4.2,0,1.3,0,0.1,0,0.1
2679,,2.7,10.9,14.4,0.2,5.2,5.2,0,0.8,0,0,0.4,4.7,0.2,0,0,0,0,0.1
7112,,7.5,20.6,37.7,0.8,5.1,5.1,0.8,1,2.3,1.1,1.4,0.2,0,0,0,0,0,0
7067,,2.8,15,19.4,0,4.9,4.9,0,0.9,0,1.6,2.1,1.2,1.1,0,0,0,0.3,0.3
4586,,8.9,19,29.3,1.2,4.8,4.8,0,1,1.8,1.3,1.4,0.2,1,0,0,0,0.1,0
9740,,5.2,14.6,20.5,0.5,4.4,4.4,0,1,0.4,0.8,2.9,0.3,0,0,0,0,0,0.1
1954,,4.3,16.5,21.7,0.3,3.5,3.5,0,1,2.8,0.4,0.3,0,0.7,0,0,0,0.5,0
8175,,4.1,12.8,17.8,0.2,3.3,3.4,0,1,1,0.4,1.8,0.1,0.5,0.1,0,0,0,0.4
1937,,4,8.3,19.7,0.3,2.7,2.7,0.5,1,0,1.4,0.2,1,0.3,0,0,0,0.1,0.4
1943,,4,6.3,10.9,0.5,2.5,2.5,0,0.9,0,0,1.4,1,0,0,0,0,0.1,0.5
9738,,3,7.9,11.5,0,2.2,2.2,0,1,0.2,0.9,1.1,0.1,0.4,0,0,0.7,0,0.2
6738,,3.2,4.2,8.5,0,2.1,2.1,0,1,0,0,0,2,0.3,0,0,0.3,0.1,0.5
5654,,3.8,8.4,19.2,0.3,1,2,0.5,0.6,0.1,0.1,0,0.8,0.9,1,0,1.2,0.1,0.4
3083,,2.7,5.6,14.3,0,2,2,0.4,0.9,0.2,0.4,0.1,1.3,0.5,0,0,0,0.5,0.5
4661,,6.5,8.2,15.9,0.5,1.8,1.8,0,1,1.4,0,0.4,0,0,0,0,0,0,0.5
3835,,3,5.6,10.1,0,1.8,1.8,0,1,0,0.5,0.9,0.4,0,0,0,0,0,0.7
3316,,9.6,8.6,19.2,0.9,1.8,1.8,0,1,1.4,0.4,0,0,0.2,0,0,0,0.1,0.4
9990,,3.1,3,7.3,0,1.1,1.1,0,1,0,0.2,0.5,0.4,0.3,0,0,0,0,0.7
9991,,4.6,4.3,9.7,0.5,0.2,0.8,0,1,0,0.1,0,0.1,0.2,0.6,0.1,0,0.5,0.3
3211,,1.6,1.9,5.3,0.1,0,0.5,0,0.5,0,0,0,0,0.4,0,0.5,0,0.6,0.4
9739,,2.2,1.7,4.7,0,0,0.4,0,0.7,0,0,0,0,0,0,0.4,0,0.4,0.2
6104,,2.2,0.1,3.2,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.4,1
10139,,1.8,0.1,3.2,0,0,0,0,0.6,0,0,0,0,0.6,0,0,0,0.6,0.5
